2026-02-05 18:47:12,784 - INFO - Loading CSV from output_with_qs_match.csv
2026-02-05 18:47:12,841 - INFO - Processing 19706 authors starting from row 0
2026-02-05 18:47:12,841 - INFO - Row 1/19706: Searching for Iftikhar, H.
2026-02-05 18:47:13,703 - ERROR - Error searching for title 'A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AA+multi-dimensional+FinTech+composite+integrating+infrastructure%2C+access%2C+usage%2C+knowledge+transfer%2C+and+governance-by-technology%3A+The+role+of+digital+silk+road+policy+in+BRI+economies&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:13,704 - INFO - Row 2/19706: Searching for Guang, L.
2026-02-05 18:47:13,912 - ERROR - Error searching for title 'A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AA+multi-dimensional+FinTech+composite+integrating+infrastructure%2C+access%2C+usage%2C+knowledge+transfer%2C+and+governance-by-technology%3A+The+role+of+digital+silk+road+policy+in+BRI+economies&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:13,913 - INFO - Row 3/19706: Searching for Putra, A.A.J.
2026-02-05 18:47:14,138 - ERROR - Error searching for title 'The influence of financial literacy, hedonism lifestyle, paylater, impulse buying through risk perception': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+influence+of+financial+literacy%2C+hedonism+lifestyle%2C+paylater%2C+impulse+buying+through+risk+perception&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:14,138 - INFO - Row 4/19706: Searching for Sholehuddin, S.
2026-02-05 18:47:14,386 - INFO - Row 5/19706: Searching for Winarno, A.
2026-02-05 18:47:14,610 - INFO - Row 6/19706: Searching for Rinaldi, A.
2026-02-05 18:47:14,837 - ERROR - Error searching for title 'Enhancing micro, small, and medium enterprises (MSMEs) in Riau Province through the inclusion of disabled workers: A pathway to realizing disability rights': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AEnhancing+micro%2C+small%2C+and+medium+enterprises+%28MSMEs%29+in+Riau+Province+through+the+inclusion+of+disabled+workers%3A+A+pathway+to+realizing+disability+rights&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:14,838 - INFO - Row 7/19706: Searching for Nijanandi, D.
2026-02-05 18:47:15,090 - INFO - Row 8/19706: Searching for Shi, L.
2026-02-05 18:47:15,544 - INFO - Row 9/19706: Searching for Jia, Z.
2026-02-05 18:47:15,806 - INFO - Row 10/19706: Searching for Idrus, M.I.
2026-02-05 18:47:15,999 - ERROR - Error searching for title 'The implementation of financial statements based on sak emkm in micro, small, and medium enterprises (case study of mutiara laundry umkm)': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+implementation+of+financial+statements+based+on+sak+emkm+in+micro%2C+small%2C+and+medium+enterprises+%28case+study+of+mutiara+laundry+umkm%29&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:16,000 - INFO - Row 11/19706: Searching for Becerra, E.R.
2026-02-05 18:47:16,246 - INFO - Row 12/19706: Searching for Sodri, A.
2026-02-05 18:47:16,446 - ERROR - Error searching for title 'Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ABetween+vulnerable+and+sustainable%3A+an+assessment+on+livelihood+of+fishermen+in+Bintan+Island%2C+Indonesia&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:16,447 - INFO - Row 13/19706: Searching for Rahawarin, M.F.
2026-02-05 18:47:16,664 - ERROR - Error searching for title 'Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ABetween+vulnerable+and+sustainable%3A+an+assessment+on+livelihood+of+fishermen+in+Bintan+Island%2C+Indonesia&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:16,665 - INFO - Row 14/19706: Searching for Sakina, N.A.
2026-02-05 18:47:16,880 - ERROR - Error searching for title 'Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ABetween+vulnerable+and+sustainable%3A+an+assessment+on+livelihood+of+fishermen+in+Bintan+Island%2C+Indonesia&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:16,881 - INFO - Row 15/19706: Searching for Sianipar, C.P.M.
