EID,Authors,Affiliations,Title,Year,country,qs_rank_2024,repec_rank,Author_Position,university
2-s2.0-105021879769,"Iftikhar, H.","Huazhong University of Science and Technology, Wuhan, Hubei, China","A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies",2026,China,275,,1,Huazhong University of Science and Technology
2-s2.0-105021879769,"Guang, L.","Digital Economy Research Center, Wenhua College, Wuhan, Hubei, China","A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies",2026,China,,,2,Wuhan University of Technology (assuming Wenhua College is a constituent college)
2-s2.0-105020870018,"Putra, A.A.J.","Universitas Nusantara PGRI Kediri, Kediri, East Java, Indonesia","The influence of financial literacy, hedonism lifestyle, paylater, impulse buying through risk perception",2026,Indonesia,,,1,Universitas Nusantara PGRI
2-s2.0-105018520404,"Sholehuddin, S.","Universitas Negeri Malang, Malang, East Java, Indonesia",Can Islamic branding and religiosity enhance the financial performance of halal MSMEs? An explanatory study,2026,Indonesia,,,1,Universitas Negeri Malang
2-s2.0-105018520404,"Winarno, A.","Universitas Islam Malang, Malang, Indonesia",Can Islamic branding and religiosity enhance the financial performance of halal MSMEs? An explanatory study,2026,Indonesia,,,2,Universitas Islam Malang
2-s2.0-105017395342,"Rinaldi, A.","Sultan Syarif Kasim State Islamic University, Indonesia","Enhancing micro, small, and medium enterprises (MSMEs) in Riau Province through the inclusion of disabled workers: A pathway to realizing disability rights",2026,Indonesia,1401+,,1,Sultan Syarif Kasim State Islamic University
2-s2.0-105022242887,"Nijanandi, D.","Atal Bihari Vajpayee School of Management and Entrepreneurship, New Delhi, DL, India",Neural and structural pathways to financial well-being: dual-staged SEM–ANN analysis of financial risk tolerance and internal locus as mediators,2026,India,,,1,Atal Bihari Vajpayee School (Name only)
2-s2.0-105020958825,"Shi, L.","School of Economics and Management, Inner Mongolia University China, Hohhot, Nei Mongol, China",Expert-level financial sentiment analysis via internal and external financial knowledge fusion,2026,China,,341,1,Inner Mongolia University
2-s2.0-105020958825,"Jia, Z.","School of Computer Science & School of Artificial Intelligence, Inner Mongolia University China, Hohhot, Nei Mongol, China",Expert-level financial sentiment analysis via internal and external financial knowledge fusion,2026,China,,,2,Inner Mongolia University
2-s2.0-105016691319,"Idrus, M.I.","Politeknik Negeri Ujung Pandang, Makassar, Indonesia","The implementation of financial statements based on sak emkm in micro, small, and medium enterprises (case study of mutiara laundry umkm)",2026,Indonesia,,,1,Politeknik Negeri Ujung Pandang
2-s2.0-105016111302,"Becerra, E.R.","Universidad César Vallejo, Trujillo, La Libertad, Peru",From debt to opportunity: How financial education boosts economic development among motorcycle taxi drivers in Peru?,2026,Peru,1001-1200,,1,Universidad César Vallejo
2-s2.0-105022068344,"Sodri, A.","Green Innovation, Universitas Indonesia, Depok, West Java, Indonesia","Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026,Indonesia,=237,,1,Universitas Indonesia
2-s2.0-105022068344,"Rahawarin, M.F.","Universitas Indonesia, Depok, West Java, Indonesia","Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026,Indonesia,=237,,2,Universitas Indonesia
2-s2.0-105022068344,"Sakina, N.A.","Center for National Development and Knowledge (CNDK), Jakarta, Indonesia","Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026,Indonesia,,,3,"CNDK, Jakarta, Indonesia: Indonesia"
2-s2.0-105022068344,"Sianipar, C.P.M.","Division of Environmental Science and Technology, Kyoto University, Kyoto, Kyoto, Japan","Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026,Japan,46,,4,Kyoto University
2-s2.0-105020902167,"Apostolou, M.","Department of Social Sciences, University of Nicosia, Nicosia, Nicosia, Cyprus",Conditions for parenthood: An exploratory study in the Greek cultural context,2026,Cyprus,368,,1,University of Nicosia
2-s2.0-105020902167,"Zalaf, A.","Department of Psychology, Norges Teknisk-Naturvitenskapelige Universitet, Trondheim, Trondelag, Norway",Conditions for parenthood: An exploratory study in the Greek cultural context,2026,Norway,,,2,Norges Teknisk-Naturvitenskapelige Universitet
2-s2.0-105016162278,"Nadir, M.","Department of Management, Universitas Mulawarman, Samarinda, East Kalimantan, Indonesia",Financial literacy and SME financial distress studies: A systematic literature review,2026,Indonesia,=237,,1,Universitas Mulawarman
2-s2.0-105016162278,"Alam, S.","Department of Management, Hasanuddin University, Makassar, South Sulawesi, Indonesia",Financial literacy and SME financial distress studies: A systematic literature review,2026,Indonesia,1001-1200,,2,Hasanuddin University
2-s2.0-105016778848,"Wilson, C.J.","Department of Psychology, Teesside University, Middlesbrough, North Yorkshire, United Kingdom",Neurological and behavioural correlates of construal in economic decision-making under cognitive load,2026,United Kingdom,=446,,1,Teesside University
2-s2.0-105022191808,"Sumanth, S.","Manipal Institute of Technology, Manipal, KA, India",GenAI-Driven Portfolio Review System: Leveraging AI for Smarter Investment Decisions,2026,India,951-1000,,1,Manipal
2-s2.0-105022191808,"Colaco, R.M.","CMR Institute of Technology, Bengaluru, KA, India",GenAI-Driven Portfolio Review System: Leveraging AI for Smarter Investment Decisions,2026,India,=149,,2,CMR Institute of Technology (University Name Not Specified in Affiliation)
2-s2.0-105022186311,"Aswani, D.","Vivekanand Education Society's Institute of Technology, Mumbai, MH, India",Agati - A Personalized Women’s Safety and Empowerment App,2026,India,,,1,"Vivekanand Education Society's Institute of Technology (University not explicitly stated, assuming it's an affiliated institution)"
2-s2.0-105022172300,"Devi, V.S.","Department of Commerce and Management, Amrita University, Amritapuri Campus, Kollam, KL, India",Assessing the Effectiveness of Deductions and Exemptions in Income Tax for Promoting Savings and Investments,2026,India,427,,1,Amrita University
2-s2.0-105021838011,"Menon, A.","Amrita School of Business, Coimbatore, TN, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,,,1,Amrita
2-s2.0-105021838011,"Sivan, A.","Equinoct Community Sourced Modelling Solutions, Kochi, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,,,2,NA
2-s2.0-105021838011,"Navya, S.","Rajagiri Business School, Kochi, KL, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,,,3,Rajagiri Business School
2-s2.0-105021830910,"Samyuktha, D.","Amrita School of Business, Coimbatore, TN, India",The Impact of Financial Literacy on Thrift Behaviors: A Study Among College Students,2026,India,,,1,Amrita
2-s2.0-105021807832,"Joseph, J.","Amrita Vishwa Vidyapeetham University, Kochi, Kochi, KL, India",The Influence of Finfluencers on Student Investment Decisions,2026,India,1001-1200,,1,Amrita Vishwa Vidyapeetham
2-s2.0-105021801845,"George, J.","Kristu Jayanti College, Bengaluru, KA, India",Demographic Variations and User Preferences in Banking: Analysing the Shift from Traditional to Digital Banking,2026,India,,,1,Kristu Jayanti College
2-s2.0-105020814140,"Sarria, G.R.","Department of Radiation Oncology, Universitätsklinikum Bonn, Bonn, Nordrhein-Westfalen, Germany",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Germany,,,1,Universitätsklinikum Bonn
