EID,Authors,Affiliations,Title,Year,country,affil_norm,country_norm,qs_rank_2024
2-s2.0-105021879769,"Iftikhar, H.","Huazhong University of Science and Technology, Wuhan, Hubei, China","A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies",2026,China,huazhong university of science and technology wuhan hubei china,china,
2-s2.0-105021879769,"Guang, L.",", Wenhua CollegDigital Economy Research Centere, Wuhan, Hubei, China","A multi-dimensional FinTech composite integrating infrastructure, access, usage, knowledge transfer, and governance-by-technology: The role of digital silk road policy in BRI economies",2026,China,digital economy research wenhua college wuhan hubei china,china,
2-s2.0-105022242887,"Nijanandi, D.","Atal Bihari Vajpayee School of Management and Entrepreneurship, New Delhi, DL, India",Neural and structural pathways to financial well-being: dual-staged SEM–ANN analysis of financial risk tolerance and internal locus as mediators,2026,India,atal bihari vajpayee new delhi dl india,india,
2-s2.0-105020958825,"Shi, L.","School of Economics and Management, Inner Mongolia University China, Hohhot, Nei Mongol, China",Expert-level financial sentiment analysis via internal and external financial knowledge fusion,2026,China,inner mongolia university china hohhot nei mongol china,china,
2-s2.0-105020958825,"Jia, Z.","School of Computer Science & School of Artificial Intelligence, Inner Mongolia University China, Hohhot, Nei Mongol, China",Expert-level financial sentiment analysis via internal and external financial knowledge fusion,2026,China,inner mongolia university china hohhot nei mongol china,china,
2-s2.0-105016691319,"Idrus, M.I.","Politeknik Negeri Ujung Pandang, Makassar, Indonesia","The implementation of financial statements based on sak emkm in micro, small, and medium enterprises (case study of mutiara laundry umkm)",2026,Indonesia,politeknik negeri ujung pandang makassar indonesia,indonesia,
2-s2.0-105022068344,"Sakina, N.A.","Center for National Development and Knowledge (CNDK), Jakarta, Indonesia","Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia",2026,Indonesia,jakarta indonesia,indonesia,
2-s2.0-105020902167,"Zalaf, A.","Department of Psychology, Norges Teknisk-Naturvitenskapelige Universitet, Trondheim, Trondelag, Norway",Conditions for parenthood: An exploratory study in the Greek cultural context,2026,Norway,norges teknisk naturvitenskapelige universitet trondheim trondelag norway,norway,
2-s2.0-105022191808,"Colaco, R.M.","CMR Institute of Technology, Bengaluru, KA, India",GenAI-Driven Portfolio Review System: Leveraging AI for Smarter Investment Decisions,2026,India,cmr bengaluru ka india,india,
2-s2.0-105022186311,"Aswani, D.","Vivekanand Education Society's Institute of Technology, Mumbai, MH, India",Agati - A Personalized Women’s Safety and Empowerment App,2026,India,vivekanand education society's mumbai mh india,india,
2-s2.0-105021838011,"Menon, A.","Amrita School of Business, Coimbatore, TN, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,amrita coimbatore tn india,india,
2-s2.0-105021838011,"Sivan, A.","Equinoct Community Sourced Modelling Solutions, Kochi, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,equinoct comm kochi india,india,
2-s2.0-105021838011,"Navya, S.","Rajagiri Business School, Kochi, KL, India",Thematic Analysis to Assess Business Continuity Intentions Among Women-Led Micro Enterprises in Kerala,2026,India,rajagiri business kochi kl india,india,
2-s2.0-105021830910,"Samyuktha, D.","Amrita School of Business, Coimbatore, TN, India",The Impact of Financial Literacy on Thrift Behaviors: A Study Among College Students,2026,India,amrita coimbatore tn india,india,
2-s2.0-105021801845,"George, J.","Kristu Jayanti College, Bengaluru, KA, India",Demographic Variations and User Preferences in Banking: Analysing the Shift from Traditional to Digital Banking,2026,India,kristu jayanti college bengaluru ka india,india,
2-s2.0-105020814140,"Sarria, G.R.","Department of Radiation Oncology, Universitätsklinikum Bonn, Bonn, Nordrhein-Westfalen, Germany",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Germany,universitätsklinikum bonn bonn nordrhein westfalen germany,germany,
2-s2.0-105020814140,"Torales, S.","Agencia de Evaluacion de Tecnologias Sanitarias de Uruguay (AETSU), Montevideo, Uruguay",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Uruguay,agencia de evaluacion de tecnologias sanitarias de uruguay (aetsu) montevideo uruguay,uruguay,
2-s2.0-105020814140,"Rossi, F.","Department of Radiation Oncology, Hospital de Clinicas Dr. Manuel Quintela, Montevideo, Uruguay",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Uruguay,hospital de clinicas dr manuel quintela montevideo uruguay,uruguay,
2-s2.0-105020814140,"Ricagni, L.","Department of Cancer Control, Instituto Nacional de Enfermedades Neoplasicas, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,instituto nacional de enfermedades neoplasicas lima lima peru,peru,
2-s2.0-105020814140,"Baldeon, D.","Department of Radiotherapy, Hospital Angeles de las Lomas, Lomas de Santa Fe, DF, Mexico",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Mexico,hospital angeles de las lomas lomas de santa fe df mexico,mexico,
2-s2.0-105020814140,"Felix, A.","Rayos Contra Cancer, Seattle, WA, United States",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,United States,rayos contra cancer seattle wa united states,united states,
2-s2.0-105020814140,"Gkika, E.","Radiotherapy Unit, Centro de Radioterapia Deán Funes, Cordoba, Argentina",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Argentina,radiotherapy centro de radioterapia deán funes cordoba argentina,argentina,
2-s2.0-105020814140,"Ferraris, G.","Department of Radiation Oncology, Oncosalud, AUNA, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,oncosalud auna lima lima peru,peru,
